codigo;nome;periodo;numero
1076;BRA;1979;11217
1076;BRA;1980;13911
1076;BRA;1981;15216
1076;BRA;1982;15554
1076;BRA;1983;17410
1076;BRA;1984;19768
1076;BRA;1985;19748
1076;BRA;1986;20483
1076;BRA;1987;23100
1076;BRA;1988;23370
1076;BRA;1989;28767
1076;BRA;1990;32015
1076;BRA;1991;30752
1076;BRA;1992;28555
1076;BRA;1993;30618
1076;BRA;1994;32631
1076;BRA;1995;37152
1076;BRA;1996;38929
1076;BRA;1997;40531
1076;BRA;1998;41974
1076;BRA;1999;42947
1076;BRA;2000;45433
1076;BRA;2001;48032
1076;BRA;2002;49816
1076;BRA;2003;51534
1076;BRA;2004;48909
1076;BRA;2005;48136
1076;BRA;2006;49704
1076;BRA;2007;48219
1076;BRA;2008;50659
1076;BRA;2013;57396
1076;BRA;2014;60474
1076;BRA;2015;59080
1076;BRA;2016;62517
1076;BRA;2017;65602
;;;
;;;
;;;
;;;
;;;
;;;
;;;
