Passageiros;Categoria;Número a bordo;% por total a bordo;Salvos;Mortos;% salvos;% mortos;% salvos por total a bordo;% mortos por total a bordo
Crianças;1ª Classe;6;0,03;5;1;0,83;0,17;0,02;0,04
;2ª Classe;24;0,11;24;0;1;0;0,11;0
;3ª Classe;79;0,36;27;52;0,34;0,66;0,12;0,24
;Total;109;0,49;56;53;0,51;0,49;0,25;0,24
Mulheres;1ª Classe;144;0,65;140;4;0,97;0,03;0,63;0,02
;2ª Classe;93;0,42;80;13;0,86;0,14;0,36;0,06
;3ª Classe;165;0,74;76;89;0,46;0,54;0,34;0,4
;Tripulação;23;0,1;20;3;0,87;0,13;0,09;0,01
;Total;425;1,91;316;109;0,74;0,26;1,42;0,49
Homens;1ª Classe;175;0,79;57;118;0,33;0,67;0,26;0,53
;2ª Classe;168;0,76;14;154;0,08;0,92;0,06;0,69
;3ª Classe;462;2,08;75;387;0,16;0,84;0,33;1,74
;Tripulação;885;3,98;192;693;0,22;0,78;0,86;3,12
;Total;1690;7,59;338;1352;0,2;0,8;1,52;6,08
Total;;2224;1;710;1514;0,32;0,68;3,19;6,81
